stem,variant,system,dataset,sample_i,cta_active_pct
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,131,37.778713
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,132,39.727749
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,133,38.300062
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,134,38.891121
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,135,39.231738
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,136,39.116653
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,137,38.357023
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,138,37.477111
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,139,39.031926
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,140,37.262434
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,141,37.638604
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,142,37.373122
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,143,38.926729
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,144,38.323723
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,145,37.348440
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,146,38.434747
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,147,39.356179
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,148,38.975316
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,149,38.301887
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,150,39.355918
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,151,38.042588
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,152,38.096205
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,153,38.110951
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,154,37.004950
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,155,38.711721
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,156,37.874716
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,157,37.464522
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,158,38.997273
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,159,39.184253
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,160,38.109633
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,161,37.468840
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,162,38.052730
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,163,38.549618
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,164,36.827788
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,165,38.548160
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,166,38.807448
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,167,38.471100
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,168,37.994500
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,169,38.311554
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,170,38.864260
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,171,38.182559
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,172,38.203593
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,173,36.041752
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,174,37.810844
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,175,37.370640
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,176,37.872253
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,177,38.009240
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,178,38.236498
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,179,38.378058
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,180,38.154299
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,181,37.823298
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,182,38.757273
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,183,38.172378
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,184,38.109512
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,185,37.520764
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,186,38.589035
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,187,38.696284
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,188,39.074762
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,189,38.118812
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,190,38.418777
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,191,38.137193
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,192,37.288494
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,193,39.467312
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,194,38.938404
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,195,38.923709
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,196,38.096239
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,197,37.845587
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,198,37.129517
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,199,85.874710
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,0,78.905600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,1,75.878400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,2,78.188800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,3,49.459200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,4,59.392000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,5,66.412800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,6,72.556800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,7,54.886400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,8,52.588800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,9,69.120000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,10,73.523200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,11,64.569600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,12,59.801600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,13,50.585600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,14,49.824000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,15,65.433600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,16,51.974400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,17,51.404800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,18,37.478400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,19,42.246400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,20,53.145600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,21,46.080000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,22,48.947200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,23,49.926400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,24,47.513600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,25,63.283200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,26,42.291200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,27,42.041600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,28,44.032000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,29,45.875200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,30,44.089600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,31,45.158400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,32,42.656000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,33,45.875200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,34,50.028800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,35,74.092800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,36,53.657600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,37,37.888000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,38,43.065600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,39,44.704000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,40,35.737600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,41,47.411200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,42,48.128000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,43,47.513600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,44,49.561600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,45,45.670400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,46,50.278400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,47,47.206400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,48,43.622400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,49,61.849600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,50,50.585600
