stem,variant,system,dataset,sample_id,hop,wait_us,compute_us
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,25,104.448000,26.624000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,26,113.664000,30.720000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,27,139.264000,28.672000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,28,121.856000,26.624000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,29,183.296000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,30,155.648000,33.792000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,31,111.616000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,32,138.240000,25.600000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,33,100.352000,23.552000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,34,120.832000,31.744000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,35,125.952000,23.552000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,36,86.016000,30.720000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,37,121.856000,21.504000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,38,95.232000,25.600000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,39,79.872000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,40,110.592000,25.600000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,41,108.544000,35.840000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,42,130.048000,24.576000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,43,114.688000,21.504000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,44,104.448000,32.768000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,45,105.472000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,46,83.968000,30.720000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,47,67.584000,22.528000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,0,99.328000,28.672000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,1,137.216000,37.888000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,2,216.064000,36.864000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,3,133.120000,37.888000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,4,136.192000,27.648000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,5,167.936000,24.576000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,6,163.840000,32.768000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,7,123.904000,27.648000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,8,155.648000,30.720000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,9,147.456000,36.864000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,10,121.856000,26.624000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,11,122.880000,27.648000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,12,143.360000,32.768000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,13,153.600000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,14,154.624000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,15,192.512000,36.864000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,16,172.032000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,17,108.544000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,18,144.384000,28.672000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,19,111.616000,23.552000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,20,112.640000,31.744000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,21,161.792000,32.768000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,22,178.176000,39.936000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,23,138.240000,35.840000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,24,89.088000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,25,159.744000,33.792000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,26,152.576000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,27,133.120000,32.768000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,28,132.096000,24.576000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,29,123.904000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,30,150.528000,32.768000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,31,143.360000,26.624000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,32,149.504000,43.008000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,33,128.000000,26.624000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,34,119.808000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,35,132.096000,24.576000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,36,102.400000,26.624000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,37,121.856000,35.840000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,38,108.544000,31.744000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,39,238.592000,31.744000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,40,126.976000,31.744000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,41,129.024000,22.528000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,42,102.400000,35.840000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,43,116.736000,27.648000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,44,125.952000,32.768000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,45,132.096000,25.600000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,46,91.136000,30.720000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,21052,47,88.064000,22.528000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,0,160.768000,26.624000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,1,86.016000,32.768000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,2,189.440000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,3,120.832000,36.864000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,4,128.000000,51.200000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,5,138.240000,44.032000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,6,329.728000,38.912000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,7,87.040000,27.648000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,8,92.160000,36.864000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,9,150.528000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,10,129.024000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,11,99.328000,31.744000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,12,104.448000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,13,96.256000,33.792000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,14,143.360000,26.624000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,15,140.288000,35.840000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,16,120.832000,31.744000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,17,136.192000,28.672000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,18,110.592000,31.744000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,19,95.232000,30.720000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,20,98.304000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,21,113.664000,37.888000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,22,130.048000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,23,115.712000,31.744000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,24,164.864000,40.960000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,25,161.792000,40.960000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,26,151.552000,41.984000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,27,143.360000,27.648000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,28,140.288000,32.768000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,29,157.696000,37.888000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,30,103.424000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,31,108.544000,38.912000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,32,160.768000,32.768000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,33,145.408000,35.840000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,34,137.216000,38.912000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,35,176.128000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,36,136.192000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,37,121.856000,35.840000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,38,128.000000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,39,105.472000,27.648000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,40,153.600000,36.864000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,41,148.480000,33.792000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,42,94.208000,26.624000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,43,89.088000,23.552000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,44,95.232000,32.768000
